Date,Open,High,Low,Close,Adj Close,Volume
2015-02-25,0.783208,0.790202,0.783208,0.783331,0.783331,0
2015-02-26,0.788519,0.791264,0.781677,0.788395,0.788395,0
2015-02-27,0.780275,0.783515,0.777968,0.780579,0.780579,0
2015-03-02,0.778755,0.779970,0.775855,0.778574,0.778574,0
2015-03-03,0.775735,0.784461,0.775374,0.775675,0.775675,0
2015-03-04,0.781983,0.785978,0.780701,0.782044,0.782044,0
2015-03-05,0.782473,0.784129,0.777001,0.782350,0.782350,0
2015-03-06,0.778695,0.784437,0.771665,0.778513,0.778513,0
2015-03-09,0.772082,0.773994,0.768758,0.772260,0.772260,0
2015-03-10,0.768403,0.768521,0.761383,0.768521,0.768521,0
2015-03-11,0.764059,0.764526,0.756315,0.764175,0.764175,0
2015-03-12,0.760341,0.772798,0.757518,0.760572,0.760572,0
2015-03-13,0.770594,0.770772,0.761093,0.770653,0.770653,0
2015-03-16,0.761847,0.768108,0.761847,0.761615,0.761615,0
2015-03-17,0.764351,0.766577,0.761499,0.764409,0.764409,0
2015-03-18,0.762137,0.765404,0.759301,0.762311,0.762311,0
2015-03-19,0.777726,0.780884,0.761847,0.777847,0.777847,0
2015-03-20,0.766225,0.776277,0.765052,0.765814,0.765814,0
2015-03-23,0.778392,0.785299,0.776578,0.778392,0.778392,0
2015-03-24,0.787588,0.793714,0.784314,0.787526,0.787526,0
2015-03-25,0.786473,0.790264,0.784437,0.786287,0.786287,0
2015-03-26,0.783208,0.788519,0.780153,0.783024,0.783024,0
2015-03-27,0.783024,0.783392,0.775254,0.783392,0.783392,0
2015-03-30,0.773575,0.773994,0.763417,0.773455,0.773455,0
2015-03-31,0.765568,0.766284,0.759244,0.765814,0.765814,0
2015-04-01,0.761789,0.766166,0.758610,0.761383,0.761383,0
2015-04-02,0.760456,0.760688,0.753523,0.760688,0.760688,0
2015-04-03,0.758208,0.768817,0.757289,0.758208,0.758208,0
2015-04-06,0.764117,0.766695,0.761093,0.764409,0.764409,0
2015-04-07,0.759025,0.771248,0.757863,0.759013,0.759013,0
2015-04-08,0.763942,0.772678,0.763884,0.764292,0.764292,0
2015-04-09,0.768403,0.773994,0.766225,0.768462,0.768462,0
2015-04-10,0.770416,0.772320,0.764000,0.770416,0.770416,0
2015-04-13,0.766577,0.767283,0.755344,0.766930,0.766930,0
2015-04-14,0.758898,0.764935,0.755744,0.758725,0.758725,0
2015-04-15,0.761562,0.763825,0.757346,0.761441,0.761441,0
2015-04-16,0.767695,0.779672,0.767636,0.767872,0.767872,0
2015-04-17,0.778816,0.784375,0.776156,0.778938,0.778938,0
2015-04-20,0.780640,0.782718,0.771486,0.780945,0.780945,0
2015-04-21,0.772082,0.775434,0.768521,0.772260,0.772260,0
2015-04-22,0.771307,0.780884,0.770772,0.771545,0.771545,0
2015-04-23,0.774593,0.778574,0.771307,0.775014,0.775014,0
2015-04-24,0.777484,0.784006,0.776518,0.777726,0.777726,0
2015-04-27,0.783392,0.786906,0.779484,0.783331,0.783331,0
2015-04-28,0.786658,0.801925,0.786102,0.786720,0.786720,0
2015-04-29,0.799808,0.807559,0.797830,0.799680,0.799680,0
2015-04-30,0.799488,0.802182,0.786473,0.799488,0.799488,0
2015-05-01,0.789889,0.790576,0.780884,0.790326,0.790326,0
2015-05-04,0.782656,0.785176,0.780457,0.783024,0.783024,0
2015-05-05,0.784129,0.795292,0.780457,0.784314,0.784314,0
2015-05-06,0.793210,0.803084,0.792833,0.793525,0.793525,0
2015-05-07,0.795418,0.800576,0.790826,0.795672,0.795672,0
2015-05-08,0.789889,0.796813,0.786782,0.790139,0.790139,0
2015-05-11,0.792267,0.793399,0.787836,0.792581,0.792581,0
2015-05-12,0.789640,0.799424,0.788830,0.789952,0.789952,0
2015-05-13,0.798977,0.812480,0.796559,0.799041,0.799041,0
2015-05-14,0.811227,0.816326,0.806517,0.811293,0.811293,0
2015-05-15,0.808473,0.809192,0.799872,0.808669,0.808669,0
2015-05-18,0.804505,0.804699,0.798403,0.804699,0.804699,0
2015-05-19,0.799360,0.800961,0.790826,0.799488,0.799488,0
2015-05-20,0.792330,0.793714,0.787030,0.792205,0.792205,0
2015-05-21,0.788022,0.791390,0.786968,0.787836,0.787836,0
2015-05-22,0.790202,0.793210,0.782105,0.790202,0.790202,0
2015-05-25,0.781189,0.784129,0.780518,0.781189,0.781189,0
2015-05-26,0.782350,0.784314,0.773814,0.782718,0.782718,0
2015-05-27,0.774893,0.776880,0.769349,0.774473,0.774473,0
2015-05-28,0.773634,0.775976,0.761847,0.773515,0.773515,0
2015-05-29,0.765755,0.767519,0.763301,0.765814,0.765814,0
2015-06-01,0.764000,0.766871,0.760514,0.764526,0.764526,0
2015-06-02,0.761499,0.776940,0.761499,0.761499,0.761499,0
2015-06-03,0.776217,0.781861,0.775494,0.776398,0.776398,0
2015-06-04,0.776940,0.778089,0.766577,0.777484,0.777484,0
2015-06-05,0.768758,0.772320,0.760225,0.768817,0.768817,0
2015-06-08,0.761731,0.765990,0.760803,0.762137,0.762137,0
2015-06-09,0.768699,0.772201,0.764877,0.768817,0.768817,0
2015-06-10,0.769290,0.778574,0.764117,0.769112,0.769112,0
2015-06-11,0.772798,0.778877,0.770119,0.773156,0.773156,0
2015-06-12,0.775014,0.775855,0.768108,0.774887,0.774887,0
2015-06-15,0.772678,0.777726,0.770594,0.773036,0.773036,0
2015-06-16,0.775916,0.778028,0.772380,0.775795,0.775795,0
2015-06-17,0.774653,0.774953,0.766166,0.774713,0.774713,0
2015-06-18,0.772082,0.785114,0.771188,0.772559,0.772559,0
2015-06-19,0.778998,0.781006,0.773814,0.778998,0.778998,0
2015-06-22,0.776820,0.779788,0.773874,0.776578,0.776578,0
2015-06-23,0.772857,0.774773,0.768167,0.772857,0.772857,0
2015-06-24,0.774653,0.776820,0.768403,0.774234,0.774234,0
2015-06-25,0.770832,0.775314,0.770772,0.770951,0.770951,0
2015-06-26,0.773515,0.773575,0.763242,0.773395,0.773395,0
2015-06-29,0.762079,0.768521,0.761789,0.762660,0.762660,0
2015-06-30,0.767224,0.772499,0.766225,0.767283,0.767283,0
2015-07-01,0.769349,0.773694,0.765404,0.769408,0.769408,0
2015-07-02,0.763825,0.765873,0.759186,0.764175,0.764175,0
2015-07-03,0.763709,0.765228,0.751089,0.763884,0.763884,0
2015-07-06,0.748839,0.753125,0.746603,0.748447,0.748447,0
2015-07-07,0.747647,0.749850,0.740083,0.747882,0.747882,0
2015-07-08,0.745657,0.745657,0.737626,0.745823,0.745823,0
2015-07-09,0.742280,0.749176,0.739590,0.742225,0.742225,0
2015-07-10,0.746213,0.749681,0.741675,0.746102,0.746102,0
2015-07-13,0.742170,0.746491,0.738498,0.742501,0.742501,0
2015-07-14,0.739481,0.748223,0.738989,0.739481,0.739481,0
2015-07-15,0.744491,0.748951,0.736540,0.744602,0.744602,0
2015-07-16,0.737083,0.743826,0.735186,0.737354,0.737354,0
2015-07-17,0.741675,0.742225,0.736974,0.741510,0.741510,0
2015-07-20,0.736920,0.739919,0.733138,0.736920,0.736920,0
2015-07-21,0.737246,0.744657,0.734322,0.737550,0.737550,0
2015-07-22,0.742721,0.743716,0.736323,0.742501,0.742501,0
2015-07-23,0.737409,0.741895,0.735835,0.737517,0.737517,0
2015-07-24,0.735889,0.735998,0.726216,0.735619,0.735619,0
2015-07-27,0.727590,0.732386,0.726744,0.727590,0.727590,0
2015-07-28,0.727696,0.733192,0.725953,0.727590,0.727590,0
2015-07-29,0.734808,0.735024,0.729980,0.734700,0.734700,0
2015-07-30,0.729714,0.732279,0.726005,0.729874,0.729874,0
2015-07-31,0.729714,0.736377,0.723694,0.729448,0.729448,0
2015-08-03,0.730087,0.731422,0.726480,0.729980,0.729980,0
2015-08-04,0.727590,0.742887,0.726586,0.727590,0.727590,0
2015-08-05,0.737681,0.739262,0.733783,0.737626,0.737626,0
2015-08-06,0.735024,0.737626,0.731850,0.735294,0.735294,0
2015-08-07,0.734376,0.741015,0.733999,0.734538,0.734538,0
2015-08-10,0.739973,0.741015,0.735456,0.740192,0.740192,0
2015-08-11,0.741510,0.743882,0.728544,0.741400,0.741400,0
2015-08-12,0.731529,0.738825,0.722596,0.731048,0.731048,0
2015-08-13,0.738498,0.740796,0.732601,0.738116,0.738116,0
2015-08-14,0.737354,0.739809,0.735781,0.737517,0.737517,0
2015-08-17,0.736974,0.738880,0.734592,0.736920,0.736920,0
2015-08-18,0.737517,0.738607,0.732332,0.737083,0.737083,0
2015-08-19,0.734053,0.736594,0.731422,0.733999,0.733999,0
2015-08-20,0.735456,0.737083,0.728597,0.735456,0.735456,0
2015-08-21,0.733676,0.735619,0.729022,0.733730,0.733730,0
2015-08-24,0.725479,0.727696,0.707314,0.725847,0.725847,0
2015-08-25,0.717721,0.724900,0.716794,0.717206,0.717206,0
2015-08-26,0.710328,0.715308,0.708015,0.710530,0.710530,0
2015-08-27,0.712149,0.717875,0.710076,0.712454,0.712454,0
2015-08-28,0.717824,0.720617,0.712403,0.717412,0.717412,0
2015-08-31,0.713980,0.715922,0.708516,0.714082,0.714082,0
2015-09-01,0.711035,0.715001,0.702001,0.710934,0.710934,0
2015-09-02,0.701213,0.704225,0.698568,0.700918,0.700918,0
2015-09-03,0.704424,0.706115,0.699790,0.704722,0.704722,0
2015-09-04,0.702296,0.702296,0.691181,0.701902,0.701902,0
2015-09-07,0.693577,0.695120,0.691706,0.693577,0.693577,0
2015-09-08,0.694444,0.702691,0.693722,0.694637,0.694637,0
2015-09-09,0.703581,0.707114,0.702001,0.703779,0.703779,0
2015-09-10,0.696040,0.709019,0.695217,0.696573,0.696573,0
2015-09-11,0.707414,0.708215,0.703730,0.707114,0.707114,0
2015-09-14,0.710278,0.715308,0.706614,0.709975,0.709975,0
2015-09-15,0.716486,0.716794,0.708767,0.716076,0.716076,0
2015-09-16,0.712708,0.719891,0.712606,0.712809,0.712809,0
2015-09-17,0.720046,0.720617,0.714184,0.719994,0.719994,0
2015-09-18,0.719166,0.728014,0.717000,0.718907,0.718907,0
2015-09-21,0.719321,0.719891,0.712301,0.719011,0.719011,0
2015-09-22,0.713114,0.716076,0.706015,0.713012,0.713012,0
2015-09-23,0.707564,0.708717,0.700378,0.707914,0.707914,0
2015-09-24,0.700476,0.702395,0.694252,0.699888,0.699888,0
2015-09-25,0.701213,0.704374,0.699350,0.701164,0.701164,0
2015-09-28,0.702198,0.703878,0.698217,0.702099,0.702099,0
2015-09-29,0.697010,0.702099,0.693914,0.697204,0.697204,0
2015-09-30,0.701115,0.703977,0.699154,0.700378,0.700378,0
2015-10-01,0.700967,0.708516,0.700722,0.701016,0.701016,0
2015-10-02,0.703878,0.706215,0.700427,0.703680,0.703680,0
2015-10-05,0.704672,0.711086,0.704473,0.704821,0.704821,0
2015-10-06,0.708818,0.715001,0.707214,0.708818,0.708818,0
2015-10-07,0.716025,0.723484,0.715256,0.715922,0.715922,0
2015-10-08,0.719994,0.722804,0.716692,0.719476,0.719476,0
2015-10-09,0.727114,0.734592,0.726111,0.726744,0.726744,0
2015-10-12,0.731101,0.738225,0.730674,0.731475,0.731475,0
2015-10-13,0.734646,0.735024,0.725584,0.734430,0.734430,0
2015-10-14,0.722648,0.729288,0.720825,0.722282,0.722282,0
2015-10-15,0.732493,0.736594,0.727008,0.732011,0.732011,0
2015-10-16,0.732708,0.732708,0.725479,0.732923,0.732923,0
2015-10-19,0.725953,0.730727,0.724113,0.726005,0.726005,0
2015-10-20,0.726005,0.729820,0.725058,0.725637,0.725637,0
2015-10-21,0.726903,0.727696,0.720513,0.726744,0.726744,0
2015-10-22,0.721553,0.723851,0.718804,0.721553,0.721553,0
2015-10-23,0.721397,0.729501,0.720565,0.721188,0.721188,0
2015-10-26,0.722387,0.727220,0.722282,0.722387,0.722387,0
2015-10-27,0.724900,0.726005,0.721813,0.725111,0.725111,0
2015-10-28,0.719683,0.719787,0.711339,0.719269,0.719269,0
2015-10-29,0.709723,0.711997,0.707214,0.710076,0.710076,0
2015-10-30,0.709220,0.713419,0.708617,0.709019,0.709019,0
2015-11-02,0.713725,0.715410,0.713012,0.713725,0.713725,0
2015-11-03,0.716025,0.721605,0.715103,0.715922,0.715922,0
2015-11-04,0.719011,0.722491,0.714592,0.719114,0.719114,0
2015-11-05,0.713725,0.717154,0.712809,0.713878,0.713878,0
2015-11-06,0.714847,0.717206,0.703581,0.714796,0.714796,0
2015-11-09,0.703977,0.707114,0.703383,0.703878,0.703878,0
2015-11-10,0.705318,0.706514,0.702099,0.705119,0.705119,0
2015-11-11,0.704325,0.707914,0.704126,0.704672,0.704672,0
2015-11-12,0.706914,0.715410,0.706714,0.707114,0.707114,0
