Date,Open,High,Low,Close,Adj Close,Volume
2015-02-25,0.748223,0.756487,0.748223,0.748391,0.748391,0
2015-02-26,0.757174,0.761441,0.753977,0.757117,0.757117,0
2015-02-27,0.753977,0.757289,0.753523,0.753920,0.753920,0
2015-03-02,0.755059,0.755687,0.751484,0.754888,0.754888,0
2015-03-03,0.750582,0.756716,0.750413,0.750582,0.750582,0
2015-03-04,0.756029,0.761209,0.754660,0.756258,0.756258,0
2015-03-05,0.758956,0.759647,0.747161,0.759129,0.759129,0
2015-03-06,0.748895,0.751710,0.737137,0.749008,0.749008,0
2015-03-09,0.736431,0.738880,0.732601,0.736377,0.736377,0
2015-03-10,0.733999,0.733999,0.726269,0.734107,0.734107,0
2015-03-11,0.729075,0.729874,0.719787,0.729182,0.729182,0
2015-03-12,0.730674,0.743605,0.729075,0.730674,0.730674,0
2015-03-13,0.740796,0.740796,0.731582,0.740576,0.740576,0
2015-03-16,0.731904,0.740192,0.731904,0.731904,0.731904,0
2015-03-17,0.738007,0.740576,0.731797,0.738062,0.738062,0
2015-03-18,0.731582,0.737191,0.727590,0.731582,0.731582,0
2015-03-19,0.750075,0.753693,0.737626,0.750582,0.750582,0
2015-03-20,0.743494,0.756601,0.742391,0.743218,0.743218,0
2015-03-23,0.757117,0.766518,0.755173,0.757002,0.757002,0
2015-03-24,0.765814,0.769823,0.762021,0.765521,0.765521,0
2015-03-25,0.762776,0.769112,0.760688,0.762486,0.762486,0
2015-03-26,0.758610,0.766518,0.757461,0.758495,0.758495,0
2015-03-27,0.758840,0.759878,0.754717,0.759186,0.759186,0
2015-03-30,0.754660,0.754888,0.750019,0.754717,0.754717,0
2015-03-31,0.750019,0.751089,0.745823,0.750131,0.750131,0
2015-04-01,0.744990,0.749176,0.739372,0.744546,0.744546,0
2015-04-02,0.744269,0.751597,0.742887,0.744103,0.744103,0
2015-04-03,0.750751,0.763126,0.749850,0.750694,0.750694,0
2015-04-06,0.761557,0.762253,0.759129,0.761673,0.761673,0
2015-04-07,0.753579,0.756716,0.750525,0.753579,0.753579,0
2015-04-08,0.750807,0.760919,0.750807,0.750751,0.750751,0
2015-04-09,0.755401,0.760572,0.753125,0.755401,0.755401,0
2015-04-10,0.757461,0.759705,0.751597,0.757633,0.757633,0
2015-04-13,0.753466,0.753920,0.742391,0.753807,0.753807,0
2015-04-14,0.746213,0.755230,0.744048,0.746213,0.746213,0
2015-04-15,0.751202,0.756201,0.749232,0.751202,0.751202,0
2015-04-16,0.759129,0.766401,0.758668,0.758956,0.758956,0
2015-04-17,0.765228,0.774174,0.764701,0.765287,0.765287,0
2015-04-20,0.770535,0.772380,0.765521,0.770535,0.770535,0
2015-04-21,0.765990,0.771307,0.763709,0.766107,0.766107,0
2015-04-22,0.766812,0.773814,0.765990,0.767224,0.767224,0
2015-04-23,0.764117,0.764175,0.754318,0.764292,0.764292,0
2015-04-24,0.757863,0.760803,0.754717,0.757978,0.757978,0
2015-04-27,0.760572,0.765580,0.759301,0.760977,0.760977,0
2015-04-28,0.762835,0.773874,0.762021,0.762893,0.762893,0
2015-04-29,0.772320,0.773814,0.767342,0.772380,0.772380,0
2015-04-30,0.760803,0.763592,0.757978,0.760572,0.760572,0
2015-05-01,0.760225,0.761093,0.751484,0.760514,0.760514,0
2015-05-04,0.752615,0.755687,0.751033,0.752615,0.752615,0
2015-05-05,0.754091,0.757518,0.749176,0.754091,0.754091,0
2015-05-06,0.750075,0.755116,0.746157,0.750075,0.750075,0
2015-05-07,0.748783,0.752899,0.742832,0.749008,0.749008,0
2015-05-08,0.744103,0.749906,0.742446,0.744325,0.744325,0
2015-05-11,0.742280,0.742777,0.734916,0.742501,0.742501,0
2015-05-12,0.734214,0.740192,0.732977,0.734430,0.734430,0
2015-05-13,0.741785,0.750582,0.736594,0.741565,0.741565,0
2015-05-14,0.752842,0.756086,0.748391,0.753409,0.753409,0
2015-05-15,0.749288,0.749625,0.743108,0.749288,0.749288,0
2015-05-18,0.745490,0.745490,0.738662,0.745768,0.745768,0
2015-05-19,0.737517,0.744491,0.734484,0.737626,0.737626,0
2015-05-20,0.735998,0.737409,0.729341,0.736106,0.736106,0
2015-05-21,0.730300,0.734107,0.729554,0.730353,0.730353,0
2015-05-22,0.735240,0.739700,0.730407,0.735294,0.735294,0
2015-05-25,0.730193,0.731904,0.729448,0.730193,0.730193,0
2015-05-26,0.731315,0.732493,0.723327,0.731208,0.731208,0
2015-05-27,0.724480,0.727114,0.721501,0.724795,0.724795,0
2015-05-28,0.724165,0.726797,0.713216,0.724218,0.724218,0
2015-05-29,0.718081,0.718184,0.709220,0.718339,0.718339,0
2015-06-01,0.709320,0.715001,0.708667,0.709925,0.709925,0
2015-06-02,0.710379,0.718288,0.709925,0.710429,0.710429,0
2015-06-03,0.716127,0.719424,0.711997,0.716692,0.716692,0
2015-06-04,0.715256,0.716743,0.710581,0.715205,0.715205,0
2015-06-05,0.712809,0.715001,0.703087,0.712809,0.712809,0
2015-06-08,0.704424,0.710429,0.704325,0.704871,0.704871,0
2015-06-09,0.713419,0.717978,0.709019,0.713063,0.713063,0
2015-06-10,0.714745,0.723014,0.711440,0.714592,0.714592,0
2015-06-11,0.704424,0.704871,0.698178,0.704771,0.704771,0
2015-06-12,0.701705,0.702395,0.694734,0.701607,0.701607,0
2015-06-15,0.698812,0.701016,0.696233,0.699105,0.699105,0
2015-06-16,0.699692,0.701066,0.697545,0.699986,0.699986,0
2015-06-17,0.698275,0.698910,0.690751,0.698422,0.698422,0
2015-06-18,0.688468,0.698324,0.688468,0.688990,0.688990,0
2015-06-19,0.691994,0.694107,0.689132,0.691898,0.691898,0
2015-06-22,0.689988,0.693097,0.687285,0.690226,0.690226,0
2015-06-23,0.686908,0.687616,0.681710,0.687002,0.687002,0
2015-06-24,0.686719,0.689750,0.685213,0.686719,0.686719,0
2015-06-25,0.688990,0.692521,0.688990,0.689037,0.689037,0
